Stock_Code,Last_Price,Previous_Price,Change_Percent,High,Low,Weighted_Average,Volume_Lot,Volume_TL,Tarih
AEFES,152.90,152.40,-0.33,154.90,151.70,0.00,5968062,0.0,2025-05-22
AKBNK,53.65,54.80,2.19,54.50,52.75,0.00,149075754,0.0,2025-05-22
ASELS,137.00,141.00,3.01,138.00,131.10,0.00,32789934,0.0,2025-05-22
ASTOR,95.80,96.75,1.00,96.85,94.60,0.00,10086451,0.0,2025-05-22
BIMAS,476.50,486.50,2.14,481.50,468.00,0.00,6438679,0.0,2025-05-22
CIMSA,52.80,52.75,-0.09,53.40,50.65,0.00,10329986,0.0,2025-05-22
EKGYO,13.99,13.44,-3.78,14.68,13.86,0.00,289687878,0.0,2025-05-22
ENKAI,62.60,60.65,-3.02,65.05,62.35,0.00,19628402,0.0,2025-05-22
EREGL,23.88,23.52,-1.49,24.44,23.60,0.00,160265343,0.0,2025-05-22
FROTO,88.40,87.05,-1.50,91.20,87.60,0.00,15329007,0.0,2025-05-22
GARAN,112.40,113.60,1.08,114.40,111.00,0.00,27682067,0.0,2025-05-22
HEKTS,3.16,3.13,-0.94,3.23,3.10,0.00,132365063,0.0,2025-05-22
ISCTR,11.12,11.24,1.09,11.25,11.02,0.00,582176850,0.0,2025-05-22
KCHOL,150.80,150.20,-0.40,153.30,149.10,0.00,33053976,0.0,2025-05-22
KOZAL,25.76,26.42,2.63,25.98,24.96,0.00,59112249,0.0,2025-05-22
KRDMD,23.20,22.86,-1.44,23.74,22.90,0.00,56341117,0.0,2025-05-22
MGROS,504.00,502.00,-0.40,512.50,497.00,0.00,1828649,0.0,2025-05-22
PETKM,17.07,16.94,-0.76,17.36,17.03,0.00,33920995,0.0,2025-05-22
PGSUS,244.10,246.50,0.99,246.50,239.90,0.00,7794345,0.0,2025-05-22
SAHOL,78.30,79.15,1.10,79.30,77.60,0.00,31237890,0.0,2025-05-22
SASA,3.70,3.72,0.54,3.76,3.66,0.00,520998005,0.0,2025-05-22
SISE,36.06,36.40,0.95,36.12,35.18,0.00,26411258,0.0,2025-05-22
TAVHL,223.70,222.40,-0.58,227.50,220.70,0.00,2952649,0.0,2025-05-22
TCELL,99.75,102.15,2.47,99.75,96.10,0.00,20787985,0.0,2025-05-22
THYAO,284.25,288.75,1.61,287.50,278.25,0.00,49321216,0.0,2025-05-22
TOASO,204.20,204.80,0.29,206.60,202.50,0.00,4973320,0.0,2025-05-22
TTKOM,60.85,61.85,1.67,61.40,59.35,0.00,19667896,0.0,2025-05-22
TUPRS,128.90,128.60,-0.23,131.10,128.40,0.00,10633129,0.0,2025-05-22
ULKER,112.70,113.40,0.63,113.50,110.80,0.00,5019798,0.0,2025-05-22
YKBNK,26.82,27.04,0.83,27.46,26.60,0.00,353222672,0.0,2025-05-22
