Stock_Code,Last_Price,Previous_Price,Change_Percent,High,Low,Weighted_Average,Volume_Lot,Volume_TL,Tarih
AEFES,153.40,149.10,-2.73,157.30,153.40,0.00,5912793,0.0,2025-05-21
AKBNK,52.50,52.45,-0.10,53.25,52.05,52.70,102916902,5423720.7,2025-05-21
ASELS,133.00,133.70,0.53,134.90,131.20,0.00,27390486,0.0,2025-05-21
ASTOR,94.85,91.85,-3.07,98.45,94.85,0.00,9440887,0.0,2025-05-21
BIMAS,466.50,462.25,-0.90,474.50,466.50,470.44,4462329,2099258.1,2025-05-21
CIMSA,52.85,51.40,-2.67,54.65,52.20,0.00,7677338,0.0,2025-05-21
EKGYO,14.54,14.63,0.62,14.71,14.27,0.00,189706728,0.0,2025-05-21
ENKAI,64.55,64.95,0.62,66.00,63.70,64.87,17056032,1106424.8,2025-05-21
EREGL,24.24,23.62,-2.49,24.90,24.24,0.00,114379898,0.0,2025-05-21
FROTO,89.75,87.55,-2.39,93.15,89.70,91.04,10429966,949544.1,2025-05-21
GARAN,111.20,110.30,-0.80,113.70,111.00,112.38,17443385,1960287.6,2025-05-21
HEKTS,3.19,3.19,0.00,3.24,3.16,3.20,119864921,383567.7,2025-05-21
ISCTR,11.00,10.89,-0.99,11.18,10.93,0.00,343436440,0.0,2025-05-21
KCHOL,151.40,146.20,-3.32,157.70,151.00,154.04,23877725,3678124.8,2025-05-21
KOZAL,25.10,25.14,0.16,25.58,25.02,25.32,36590508,926471.7,2025-05-21
KRDMD,23.54,22.94,-2.49,24.02,23.54,23.78,53431797,1270608.1,2025-05-21
MGROS,506.00,497.50,-1.65,516.00,505.50,511.13,1015910,519262.1,2025-05-21
PETKM,17.20,16.79,-2.33,17.60,17.20,17.42,26666836,464536.3,2025-05-21
PGSUS,241.70,232.90,-3.51,250.75,241.50,246.13,6267261,1542560.9,2025-05-21
SAHOL,77.45,76.40,-1.34,78.65,77.35,77.93,16488708,1284965.0,2025-05-21
SASA,3.68,3.82,3.95,3.70,3.51,0.00,742596906,0.0,2025-05-21
SISE,35.72,35.20,-1.43,36.20,35.72,35.91,15153700,544169.4,2025-05-21
TAVHL,225.00,218.00,-3.02,233.00,224.80,227.52,2798523,636720.0,2025-05-21
TCELL,97.35,96.25,-1.12,99.50,97.30,98.67,24396622,2407214.7,2025-05-21
THYAO,279.75,272.75,-2.44,287.00,280.00,282.48,42495346,12004085.3,2025-05-21
TOASO,203.60,202.10,-0.73,208.90,201.10,205.00,8602799,1763573.8,2025-05-21
TTKOM,59.85,58.90,-1.56,61.40,59.50,60.42,13903781,840066.4,2025-05-21
TUPRS,129.20,127.90,-1.00,130.90,128.10,129.44,11140674,1442048.8,2025-05-21
ULKER,112.00,109.90,-1.84,114.50,112.10,113.25,5609352,635259.1,2025-05-21
YKBNK,26.60,26.20,-1.48,27.30,26.56,26.94,250955081,6760729.9,2025-05-21
