Stock_Code,Last_Price,Previous_Price,Change_Percent,High,Low,Weighted_Average,Volume_Lot,Volume_TL,Tarih
AEFES,162.20,161.20,-0.61,164.10,158.40,161.09,11523823,1856372.6,2025-05-19
AKBNK,51.95,53.20,2.47,52.15,50.30,51.20,162473877,8318662.5,2025-05-19
ASELS,138.60,139.70,0.80,143.80,136.60,140.76,47312639,6659727.1,2025-05-19
ASTOR,102.00,103.30,1.29,104.00,100.10,101.89,11068740,1127793.9,2025-05-19
BIMAS,494.00,492.50,-0.30,499.50,488.25,493.39,4429183,2185314.6,2025-05-19
CIMSA,53.75,53.25,-0.92,55.85,53.20,54.36,12056779,655406.5,2025-05-19
EKGYO,14.67,15.29,4.41,14.70,13.84,0.00,309039421,0.0,2025-05-19
ENKAI,65.05,63.90,-1.74,66.70,64.60,0.00,16818059,0.0,2025-05-19
EREGL,24.80,24.92,0.49,25.10,24.62,0.00,151216342,0.0,2025-05-19
FROTO,96.75,100.00,3.48,96.75,93.35,95.05,8152400,774885.6,2025-05-19
GARAN,113.30,116.50,2.91,114.00,109.00,0.00,21126020,0.0,2025-05-19
HEKTS,3.21,3.29,2.56,3.21,3.12,0.00,58881442,0.0,2025-05-19
ISCTR,10.97,11.23,2.43,11.02,10.65,10.82,514023857,5561738.1,2025-05-19
KCHOL,159.00,169.60,7.14,159.50,148.40,154.08,43445477,6694079.1,2025-05-19
KOZAL,25.22,25.40,0.72,25.44,24.74,0.00,43830622,0.0,2025-05-19
KRDMD,24.30,24.54,1.00,24.42,23.86,0.00,58285557,0.0,2025-05-19
MGROS,529.00,534.00,0.95,531.50,521.00,0.00,956228,0.0,2025-05-19
PETKM,17.93,18.16,1.30,18.16,17.32,0.00,85831401,0.0,2025-05-19
PGSUS,250.50,255.30,1.95,255.50,246.60,0.00,7463295,0.0,2025-05-19
SAHOL,78.60,79.55,1.22,79.00,77.25,0.00,39001000,0.0,2025-05-19
SASA,3.62,3.60,-0.55,3.67,3.56,0.00,401164574,0.0,2025-05-19
SISE,37.02,37.54,1.42,37.10,35.70,0.00,35600752,0.0,2025-05-19
TAVHL,231.60,230.60,-0.43,236.60,227.90,0.00,2875756,0.0,2025-05-19
TCELL,96.70,96.90,0.21,97.60,94.90,0.00,20193486,0.0,2025-05-19
THYAO,293.00,292.25,-0.26,296.25,288.75,0.00,30591987,0.0,2025-05-19
TOASO,217.30,221.10,1.78,217.50,212.50,0.00,8033686,0.0,2025-05-19
TTKOM,62.00,62.55,0.90,62.65,60.85,0.00,16013389,0.0,2025-05-19
TUPRS,134.30,136.90,1.97,135.50,130.90,0.00,14517963,0.0,2025-05-19
ULKER,114.40,114.50,0.09,115.70,112.60,0.00,7034993,0.0,2025-05-19
YKBNK,26.68,28.12,5.71,26.86,25.24,0.00,436590980,0.0,2025-05-19
