Stock_Code,Last_Price,Previous_Price,Change_Percent,High,Low,Weighted_Average,Volume_Lot,Volume_TL,Tarih
AEFES,157.70,153.20,-2.77,166.40,157.70,0.00,7599911,0.0,2025-05-20
AKBNK,52.55,53.15,1.15,53.30,51.55,0.00,180165276,0.0,2025-05-20
ASELS,132.30,126.00,-4.55,137.90,129.90,0.00,45130767,0.0,2025-05-20
ASTOR,97.85,93.70,-4.07,102.40,97.85,0.00,10524301,0.0,2025-05-20
BIMAS,470.75,447.50,-4.71,492.50,469.25,0.00,7528448,0.0,2025-05-20
CIMSA,54.30,54.85,1.02,54.65,52.85,0.00,8918558,0.0,2025-05-20
EKGYO,14.45,14.23,-1.50,14.73,14.39,0.00,136689920,0.0,2025-05-20
ENKAI,64.15,63.25,-1.38,66.50,63.95,0.00,18799417,0.0,2025-05-20
EREGL,24.86,24.92,0.24,25.08,24.70,0.00,150998808,0.0,2025-05-20
FROTO,91.95,87.15,-4.96,97.05,91.70,0.00,14277812,0.0,2025-05-20
GARAN,112.10,110.90,-1.06,114.40,112.10,0.00,25323301,0.0,2025-05-20
HEKTS,3.19,3.17,-0.62,3.26,3.17,0.00,49771070,0.0,2025-05-20
ISCTR,11.11,11.25,1.28,11.24,10.91,0.00,539593881,0.0,2025-05-20
KCHOL,156.60,154.20,-1.51,160.50,155.30,0.00,29433949,0.0,2025-05-20
KOZAL,25.06,24.90,-0.63,25.62,24.98,0.00,43482587,0.0,2025-05-20
KRDMD,24.14,23.98,-0.66,24.48,23.96,0.00,45214855,0.0,2025-05-20
MGROS,514.50,500.00,-2.74,530.00,511.00,0.00,1824202,0.0,2025-05-20
PETKM,17.61,17.29,-1.78,18.00,17.60,17.77,26987737,479572.1,2025-05-20
PGSUS,250.50,250.50,0.00,252.75,245.10,249.14,7156868,1783062.1,2025-05-20
SAHOL,78.50,78.40,-0.13,79.40,77.90,78.81,28394132,2237741.5,2025-05-20
SASA,3.54,3.46,-2.21,3.62,3.53,0.00,307963880,0.0,2025-05-20
SISE,36.24,35.46,-2.11,37.00,36.14,36.57,22552273,824736.6,2025-05-20
TAVHL,232.00,232.40,0.17,233.70,227.80,0.00,2593179,0.0,2025-05-20
TCELL,98.45,100.20,1.81,98.60,96.40,0.00,20209768,0.0,2025-05-20
THYAO,286.75,280.50,-2.13,293.75,286.00,289.43,28203892,8163052.5,2025-05-20
TOASO,205.10,192.90,-5.61,218.00,205.10,0.00,6777028,0.0,2025-05-20
TTKOM,60.80,59.60,-1.94,62.70,60.20,0.00,14112945,0.0,2025-05-20
TUPRS,130.50,126.70,-2.83,135.80,130.50,132.51,12245912,1622705.8,2025-05-20
ULKER,114.10,113.80,-0.26,116.10,113.90,0.00,7353981,0.0,2025-05-20
YKBNK,27.00,27.32,1.20,27.34,26.48,0.00,357655553,0.0,2025-05-20
